regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
basis,n. 基础；底部；主要成分；基本原则或原理
athlete,n. 运动员，体育家；身强力壮的人
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
nowadays,"adv. 现今；时下
n. 当今"
gymnastics,n. 体操；体育；体操运动
athletics,n. 竞技；体育运动；田径运动
stadium,n. 体育场；露天大型运动场
gymnasium,n. 体育馆；健身房
gym,n. 健身房；体育；体育馆
as well,"na. 也；同样
 又；还；也倒不如"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
responsibility,n. 责任，职责；义务
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
wreath,"n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
motto,n. 座右铭，格言；箴言
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
similarity,n. 类似；相似点
Athens,n. 雅典（希腊首都）
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
in charge,"na. 主任
 负责；在…掌管之下；看管"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
poster,n. 海报，广告；招贴
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
Atlanta,找不到解释
princess,n. 公主；王妃；女巨头
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
prince,n. 王子，国君；亲王；贵族
hopeless,adj. 绝望的；不可救药的
Hippomenes,"n. 希波墨涅斯(在同美女Atalanta赛跑中获胜,因而得以娶她为妻)"
foolish,adj. 愚蠢的；傻的
goddess,n. 女神，受崇拜的女性
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
one after another,"na. 一个又一个地；陆续；相继
 一个接一个；一个接一个地；先后"
deserve,"vi. 应受，应得
vt. 应受，应得"
striker,n. 罢工者；打击者； 撞针；钟锤；叉鱼的人
abacus,n. 算盘
calculator,n. 计算器；计算者
PC,abbr. 个人电脑（Personal Computer）；巡逻车（Patrol Car）
laptop,n. 膝上型轻便电脑，笔记本电脑
PDA,abbr. 个人数字助理（等于Personal Digital Assistant）；秀恩爱（Public Display of Affection）
analytical,adj. 分析的；解析的；善于分析的
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
simplify,vt. 简化；使单纯；使简易
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
Charles Babbage, 巴贝奇；查尔斯·巴贝奇；查尔斯·巴比奇
operator,n. 经营者；操作员；话务员；行家
logical,adj. 合逻辑的，合理的；逻辑学的
logically,adv. 逻辑上；合乎逻辑
technology,n. 技术；工艺；术语
technological,adj. 技术的；工艺的
revolution,n. 革命；旋转；运行；循环
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligent,adj. 智能的；聪明的；理解力强的
Alan Turing, 图灵；阿兰·图灵；艾伦·图灵
solve,"vt. 解决；解答；溶解
vi. 作解答"
mathematical,adj. 数学的，数学上的；精确的
from ... on,找不到解释
reality,n. 现实；实际；真实
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
personally,adv. 亲自地；当面；个别地；就自己而言
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
transistor,n. 晶体管（收音机）
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
as a result,"adv. 结果
 因此；结果是；作为结果"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
totally,adv. 完全地
so ... that ...,找不到解释
network,n. 网络；广播网；网状物
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
application,n. 应用；申请；应用程序；敷用
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
Mars,n. 战神； 火星
anyhow,adv. 总之；无论如何；不管怎样
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
happiness,n. 幸福
human race,"n. 人类
 人的种族；人类种族；是指人类种族"
supporting,"n. 支持；支承面
v. 支持；供养（support的ing形式）
adj. 支持的；辅助性的；次要的"
download,vt.  下载
programmer,n.  程序设计员
virus,n.  病毒；恶毒；毒害
android,n. 机器人；安卓操作系统
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
teammate,n. 队友，同队队员
Nagoya,找不到解释
Seattle,n. 西雅图（美国一港市）
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
in a way,"na. 在某一点上
 在某种程度上；从某种程度上说；在某点"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
arise,vi. 出现；上升；起立
with the help of,"prep. 借助于
 在……的帮助下；在……帮助下；在某人的帮助下"
electronic,"adj. 电子的
n. 电子电路；电子器件"
appearance,n. 外貌，外观；出现，露面
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
mop,"vt. 擦干；用拖把拖洗
vi. 用拖把擦洗地板；扮鬼脸
n. 拖把；蓬松的头发；鬼脸"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
watch over,"na. 监视；留心；看护
 看守；照看；照管"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
niece,n. 外甥女，侄女
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
wildlife,"n. 野生动植物
adj. 野生动植物的"
protection,n. 保护；防卫；护照
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
habitat,n.  栖息地，产地
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
endanger,vt. 危及；使遭到危险
die out,"na. 死绝
 灭绝；消失；逐渐消失"
loss,n. 减少；亏损；失败；遗失
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
zone,  地带、地区（德语）
in peace,"na. 平平安安；安心
 和平地；安静；宁静"
in danger,"na. 在危险中
 垂危；处于危险中；处于危险之中"
in danger of,"un. 遭逢不测；有…的危险
 有…危险；处于…危险之中；处于……的危险中"
Daisy,找不到解释
species,"n.  物种；种类
adj. 物种上的"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
antelope,n. 羚羊；羚羊皮革
Zimbabwe,n. 津巴布韦（国家名，位于非洲）
relief,n. 救济；减轻，解除；安慰；浮雕
in relief,"na. 浮雕一般；鲜明地
 如释重负；松了口气；显著地"
laughter,n. 笑；笑声
burst into laughter,"na. 放声大笑
 突然大笑；突然笑起来；哈哈大笑起来"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
importance,n. 价值；重要；重大；傲慢
WWF,找不到解释
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
protect ... from,找不到解释
mosquito,n. 蚊子
millipede,n.  千足虫；倍足纲节动物（等于millepede）
insect,n. 昆虫；卑鄙的人
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
attention,n. 注意力；关心；立正！（口令）
pay attention to,"na. 注意
 重视；对……注意；关心"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
Indonesia,n. 印尼，印度尼西亚（东南亚岛国）
rhino,n. 犀牛（等于rhinoceros）；钱；现金
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
income,n. 收入，收益；所得
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
Milu deer,找不到解释
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
extinction,n. 灭绝；消失；消灭；废止
dinosaur,n. 恐龙；过时、落伍的人或事物
come into being,"na. 发生
 形成；产生；开始存在"
county,n. 郡，县
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
unexpected,adj. 意外的，想不到的
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
Mauritius,n. 毛里求斯
disappearance,n. 消失；不见
fierce,adj. 凶猛的；猛烈的；暴躁的
so that,"conj. 因此；以便
 为了；以致；以便于"
ending,n. 结局；结尾
faithfully,adv. 忠实地；如实地；诚心诚意地；深信着地
Colobus monkey,找不到解释
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
rock 'n' roll,n. 摇滚乐
orchestra,n. 管弦乐队；乐队演奏处
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
choral,"n. 赞美诗；唱诗班
adj. 合唱的；合唱队的"
the Monkees,找不到解释
musician,n. 音乐家
dream of,"v. 梦想
 梦见；梦到；向往"
karaoke,n. 卡拉OK；卡拉OK录音，自动伴奏录音
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
to be honest, 老实说；说实话；说实在的
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attach ... to,"v. 连接在…上；归于
 附属于；贴上；附上"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
passer-by,n. 过路人；经过的人
earn,vt. 赚，赚得；获得，挣得；使得到；博得
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
instrument,n. 仪器；工具；乐器；手段；器械
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
performance,n. 性能；绩效；表演；执行；表现
pub,n. 酒馆；客栈
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
in cash,"un. 占…便宜；用现钱支付的
 用现金；有现钱；现金支付"
studio,n. 工作室； 演播室；画室；电影制片厂
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
play jokes on, 戏弄；开玩笑；开……的玩笑
actor,n. 男演员；行动者；作用物
rely,vi. 依靠；信赖
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
be familiar with,"na. 精通；同…相好
 熟悉；对…熟悉；对…而熟悉"
get familiar with,"v. 熟悉
 变得熟悉；与……熟悉起来"
or so,"un. 与其说…不如说…；大约
 左右；上下；大概"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
attractive,adj. 吸引人的；有魅力的；引人注目的
addition,n. 添加； 加法；增加物
in addition,"na. 加之
 另外；此外；又"
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
excitement,n. 兴奋；刺激；令人兴奋的事物
ballad,n. 歌谣，民谣；叙事歌谣；流行抒情歌曲
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
tadpole,n. 蝌蚪
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
confident,adj. 自信的；确信的
Freddy,"  弗雷迪 Frederic,Frederick等的昵称;  弗雷迪 Frederica的昵称"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
briefly,adv. 短暂地；简略地；暂时地
devotion,n. 献身，奉献；忠诚；热爱
afterwards,adv. 后来；然后
invitation,n. 邀请；引诱；请帖；邀请函
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
painful,adj. 痛苦的；疼痛的；令人不快的
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
compete,vi. 竞争；比赛；对抗
competitor,n. 竞争者，对手
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
medal,n. 勋章，奖章；纪念章
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
mascot,n. 吉祥物；福神（等于mascotte）
Pausanias,找不到解释
Greece,希腊（欧洲南部国家）
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
magical,adj. 魔术的；有魔力的
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
homeland,n. 祖国；故乡
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
basis,n. 基础；底部；主要成分；基本原则或原理
athlete,n. 运动员，体育家；身强力壮的人
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
nowadays,"adv. 现今；时下
n. 当今"
gymnastics,n. 体操；体育；体操运动
athletics,n. 竞技；体育运动；田径运动
stadium,n. 体育场；露天大型运动场
gymnasium,n. 体育馆；健身房
gym,n. 健身房；体育；体育馆
as well,"na. 也；同样
 又；还；也倒不如"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
responsibility,n. 责任，职责；义务
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
wreath,"n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
motto,n. 座右铭，格言；箴言
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
similarity,n. 类似；相似点
Athens,n. 雅典（希腊首都）
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
in charge,"na. 主任
 负责；在…掌管之下；看管"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
poster,n. 海报，广告；招贴
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
Atalanta,n. 阿塔兰特(捷足善走的美女)
princess,n. 公主；王妃；女巨头
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
prince,n. 王子，国君；亲王；贵族
hopeless,adj. 绝望的；不可救药的
Hippomenes,"n. 希波墨涅斯(在同美女Atalanta赛跑中获胜,因而得以娶她为妻)"
foolish,adj. 愚蠢的；傻的
goddess,n. 女神，受崇拜的女性
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
one after another,"na. 一个又一个地；陆续；相继
 一个接一个；一个接一个地；先后"
deserve,"vi. 应受，应得
vt. 应受，应得"
striker,n. 罢工者；打击者； 撞针；钟锤；叉鱼的人
abacus,n. 算盘
