state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remarkable,adj. 卓越的；非凡的；值得注意的
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
blot,"n. 污点，污渍；墨水渍
vt. 涂污，弄脏；用吸墨纸弄干（或除去）
vi. 吸墨水；弄上墨渍或污渍"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
symbol,n. 象征；符号；标志
system,n. 制度，体制；系统；方法
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
systematically,adv. 有系统地；有组织地
regime,n. 政权，政体；社会制度；管理体制
organization,n. 组织；机构；体制；团体
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
stressed-out,adj. 不堪重负的；承受巨大压力的
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
emphasize,vt. 强调，着重
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
gaze at,"v. 凝视；注视
 盯着；盯住；审视"
stare at,"na. 瞪着看
 凝视；盯着；盯着看"
glare at,"v. 怒目而视
 怒视；向人瞪眼；瞪着"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
proclaim,vt. 宣告，公布；声明；表明；赞扬
disclaim,"vt. 否认，拒绝；放弃，弃权；拒绝承认
vi. 否认；放弃；弃权"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
lay claim to,"na. 要求(…是自己的)；自以为是
 主张；声称；认领"
allege,vt. 宣称，断言；提出…作为理由
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
assert,vt. 维护，坚持；断言；主张；声称
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
intellectual property,"n. 知识产权
 智慧财产权；知识财产；智力资产"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
courteous,adj. 有礼貌的；谦恭的
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
hardline,"adj. 强硬的；不妥协的
n. 强硬路线"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
online,"adj. 联机的；在线的
adv. 在线地"
offline,"n. 脱机；挂线
adj. 脱机的；离线的，未连线的
adv. 未连线地"
coastline,n. 海岸线
deadline,n. 截止期限，最后期限
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
baseline,n. 基线；底线
airline,"n. 航空公司；航线
adj. 航线的"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
lineage,n. 血统；家系， 世系
pipeline,n. 管道；输油管；传递途径
guideline,"n. 指导方针
参考"
in line with,"na. 和…成一直线；和…一致
 符合；按照；跟…一致"
series,n. 系列，连续； 串联；级数；丛书
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
boundary,n. 边界；范围；分界线
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
route,"n. 路线；航线；通道
vt. 按某路线发送"
succession,n. 连续；继位；继承权； 演替
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
overvalue,vt. 对…估价过高；过分重视
devalued,"vt. 使贬值；降低…的价值
vi. 贬值"
worth,"n. 价值；财产
adj. 值…的"
significance,n. 意义；重要性；意思
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
viewer,n. 观察者；观看者；观众； 指示器
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
reviewer,n. 评论者，评论家
worldview,n. 世界观
in view of,"na. 鉴于；为要；在…能看见的地方；估计到才
 考虑到；由于；为了"
in view,"na. 看见；放在心里；考虑中的
 被考虑；看得见；在看得见的地方"
on view,"na. 供人观看；陈列着
 展览着；上映中；考虑到"
take sth. in view,找不到解释
take sth. into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
perspective,"n. 观点；远景；透视图
adj. 透视的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
individually,adv. 个别地，单独地
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
economic,adj. 经济的，经济上的；经济学的
uneconomic,adj. 不经济的；浪费的
economics,n. 经济学；国家的经济状况
economically,adv. 经济地；在经济上；节俭地
socioeconomic,adj. 社会经济学的
fiscal cliff, 财政悬崖；美国财政悬崖；财政危局
IMF,abbr. 国际货币基金组织（international monetary fund）
financial,adj. 金融的；财政的，财务的
fiscal,adj. 会计的，财政的；国库的
monetary,adj. 货币的；财政的
create,vt. 创造，创作；造成
creature,n. 动物，生物；人；创造物
creative,adj. 创造性的
recreate,"vt. 再创造；使得到娱乐/消遣
vi. 娱乐；消遣"
creativity,n. 创造力；创造性
creation,n. 创造，创作；创作物，产物
creationism,n. 特别创造说；创造宇宙说
creationist,n. 神造说鼓吹者；神灵论者；特创论者（即相信万物皆由上帝一次造成者）
procreation,n. 生殖；生产
legal,adj. 法律的；合法的；法定的；依照法律的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
lawful,adj. 合法的；法定的；法律许可的
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
consideration,n. 考虑；原因；关心；报酬
reconsider,"vt. 重新考虑；重新审议
vi. 重新考虑"
considerable,adj. 相当大的；重要的，值得考虑的
considering,"conj. 考虑到
prep. 考虑到；就...而论
v. 考虑到（consider的ing形式）"
consider ... as,找不到解释
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
subjective,adj. 主观的；个人的；自觉的
be subject to,"un. 给；降伏；受…支配；受…影响
 受支配；服从；应受"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
leadership,n. 领导能力；领导阶层
mislead,vt. 误导；带错
leader,n. 领导者；首领；指挥者
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
lead on,"na. 哄骗；怂恿
 继续引领；雷帝；率领"
lead someone on, 误导，欺骗（尤指使相信自己引人喜爱）
lead up to,"na. 渐渐诱入；设法引出
 导致；引起；把…一直带领到"
take the lead,"v. 率先
 独领风潮；带头；领先"
intend,"vi. 有打算
vt. 打算；想要；意指"
intend to do, 打算做某事；想要做；打算去做
intend doing sth.,找不到解释
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountant,n. 会计师；会计人员
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
take into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
leave sth. out of account,找不到解释
on account of,"na. 因为
 由于；为了；基于"
description,n. 描述，描写；类型；说明书
explanation,n. 说明，解释；辩解
consumer,n. 消费者；用户，顾客
consumption,n. 消费；消耗；肺痨
consuming,"v. 消耗（consume的ing形式）
adj. 消费的；强烈的"
consumerism,n. 保护消费者利益运动；用户至上主义
client,n.  客户；顾客；委托人
environment,n. 环境，外界
environmental,adj. 环境的，周围的；有关环境的
environmentally,adv. 有关环境方面
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
surroundings,n. 环境；周围的事物
atmosphere,n. 气氛；大气；空气
situation,n. 情况；形势；处境；位置
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
matter,"n. 物质；事件
vi. 有关系；要紧"
a matter of,"na. 大约；…左右；…的问题
 几的事；是个…问题，事关；关于……的问题"
substance,n. 物质；实质；资产；主旨
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
fund,"n. 基金；资金；存款
vt. 投资；资助"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
fundamentally,adv. 根本地，从根本上；基础地
nonfundamentalist, 非原教旨主义者
underfund,vt. 对…提供资金不足
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
holder,n. 持有人；所有人；固定器；（台、架等）支持物
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
shareholder,n. 股东；股票持有人
shareholding,n. 股权
stockholder,n. 股东；股票持有人
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
 等一等；坚持住；等一下"
hold out,"na. 伸出；提出；维持；制止
 坚持；支持；坚持，不屈服"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
 阻挡；耽搁；拿起"
cling,vi. 坚持，墨守；紧贴；附着
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
functional,adj. 功能的
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evident,adj. 明显的；明白的
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
confirmation,n. 确认；证实；证明；批准
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
 实际上；在实际中；从实践上看"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
denote,vt. 表示，指示
noteworthy,adj. 值得注意的；显著的
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
make notes,"un. 打听；记下；审批
 做笔记；作笔记；读书笔记"
degree,n. 程度，等级；度；学位；阶层
agreement,n. 协议；同意，一致
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
unconcerned,adj. 不关心的；无关的；无忧虑的
concern oneself with,"na. 从事
 参与；关注；关心"
as far as ... be concerned,找不到解释
so far as ... be concerned,找不到解释
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
allow for,"v. 考虑到
 顾及；估计到；体谅"
product,n. 产品；结果； 乘积；作品
production,n. 成果；产品；生产；作品
productivity,n. 生产力；生产率；生产能力
invention,n. 发明；发明物；虚构；发明才能
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
low-level,adj. 低水平的；低级别的
level off,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
 达到平衡；平整；趋向平稳"
on the level,"na. 公平地；老实说
 诚实；诚实的；忠诚"
do one's level best,"na. 全力以赴；竭尽全力
 尽力而为"
effort,n. 努力；成就
effortless,adj. 容易的；不费力气的
infer,"vi. 推断；作出推论
vt. 推断；推论"
inferiority,n. 自卑；下属；次等；下部
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
inference,n. 推理；推论；推断
deduce,vt. 推论，推断；演绎出
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
professionalize,"vt. 使…专业化；使…专业化
vi. 专业化；职业化"
professionalization,n. 专业化；职业化
professionalism,n. 专业主义；专家的地位；特性或方法
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
provider,n. 供应者；养家者
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
unchallenged,adj. 不成问题的；未引起争论的； 不回避的
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
dealing,n. 交易；行为
dealership,n. 代理权；代理商；经销权
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
a great deal of,"det. 很多；重重
 大量的；许多；很多的"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
restructuring,"n. 调整；改组；重建
v. 重组（restructure的现在分词形式）"
structural,adj. 结构的；建筑的
infrastructure,n. 基础设施；公共建设；下部构造
define,vt. 定义；使明确；规定
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
contention,n. 争论，争辩；争夺；论点
discontent,"n. 不满
adj. 不满的
vt. 使不满"
self-contented,a. 自满
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
immigration,n. 外来移民；移居
emigrate,"vi. 移居；移居外国
vt. 移民"
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
beyond one's comprehension, 不可理解
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
massive,adj. 大量的；巨大的，厚重的；魁伟的
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
biomass,n. （单位面积或体积内的） 生物量
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
comparable,adj. 可比较的；比得上的
comparison,n. 比较；对照；比喻；比较关系
comparative,"n. 比较级；对手
adj. 比较的；相当的"
comparatively,adv. 比较地；相当地
compare with,"na. 和…比较
 与…相比；与…相比较；与…比较"
compare to,"un. 核对记录；商量了一番；比较；和…相仿
 与…相比；比作；把…比作"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
involve,vt. 包含；牵涉；使陷于；潜心于
involvement,n. 牵连；包含；混乱；财政困难
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
occupy,vt. 占据，占领；居住；使忙碌
segment,"n. 段；部分
vt. 分割
vi. 分割"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
fraction,n. 分数；部分；小部分；稍微
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
access road,"n. （进出某处的）行车通道
 通路；便道；入境道路"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
coverage,n. 覆盖，覆盖范围；新闻报道
recovery,n. 恢复，复原；痊愈；重获
discover,"vi. 发现
vt. 发现；发觉"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
disclose,vt. 公开；揭露
analysis,n. 分析；分解；验定
anatomy,n. 解剖；解剖学；剖析；骨骼
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
identify with,"v. 相同于
 认同；认为…等同于；与…认同"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
entitlement,n. 权利；津贴
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
doubter,n. 抱怀疑态度的人；不信宗教的人；怀疑论者
undoubtedly,adv. 确实地，毋庸置疑的
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
in doubt,"na. 感到疑心；被怀疑
 拿不准；有怀疑；不确定的"
in no doubt,找不到解释
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physics,n. 物理学；物理现象
geophysical,adj. 地球物理学的
physician,n.  医师；内科医师
astrophysicist,n. 天体物理学家
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
bodily,"adj. 身体的；肉体的
adv. 整体地；亲自地；以肉体形式"
introduce,vt. 介绍；引进；提出；采用
introductory,adj. 引导的，介绍的；开端的
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
semiconductor,n.  半导体
conductive,adj. 传导的；传导性的；有传导力的
conductor,n. 导体；售票员；领导者；管理人
behavior,n. 行为，举止；态度；反应
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
teller,n. （美）出纳员；讲述者；讲故事者；计票员
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intellectualism,n. 理智主义，知性主义
intelligent,adj. 智能的；聪明的；理解力强的
intelligently,adv. 聪明地，明智地
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
satellite,n. 卫星；人造卫星；随从；卫星国家
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
notify,vt. 通告，通知；公布
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
blackened,"v. 使…变黑；弄脏；损坏（blacken的过去分词）
adj. 变黑的；被损坏的"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
slacken,"vi. 松劲，懈怠；变松弛；变缓慢
vt. 使缓慢；使松弛"
available,adj. 可获得的；可购得的；可找到的；有空的
be available to,"v. 可以用来
 可被……利用或得到的；使可得到；可提供给"
obtainable,adj. 能得到的
accessible,adj. 易接近的；可进入的；可理解的
emerge,vi. 浮现；摆脱；暴露
emergence,n. 出现，浮现；发生；露头
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
emerge from,"v. 从…里露出
 出现；暴露；曾经一度遭到"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
appear,vi. 出现；显得；似乎；出庭；登场
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
