cause,"n. 原因；事业；目标
vt. 引起；使遭受"
symbolically,adv. 象征性地；象征意义地
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
striker,n. 罢工者；打击者； 撞针；钟锤；叉鱼的人
defend,"vi. 保卫；防守
vt. 辩护；防护"
insurmountable,adj. 不能克服的；不能超越的；难以对付的
predicament,n. 窘况，困境；状态
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
self-confidence,n. 自信
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
significance,n. 意义；重要性；意思
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
illustration,n. 说明；插图；例证；图解
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
inspiration,n. 灵感；鼓舞；吸气；妙计
effectively,adv. 有效地，生效地；有力地；实际上
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
underestimate,"n. 低估
vt. 低估；看轻"
in one's mind, 牢记某事；在某人的脑海里；脑海中
fill up,"na. 同“fill”
 装满；填补；填满"
in the face of,"na. 不避；不管；在…前面；面临
 面对；在...面前；不顾"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
there be bound to be,找不到解释
at critical times,找不到解释
play a role in sth.,找不到解释
play a role in doing sth.,找不到解释
turn failure into victory,找不到解释
be an inspiration to sb.,找不到解释
be confronted with sth.,找不到解释
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
ironic,adj. 讽刺的；反话的
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
metaphorical,adj. 比喻性的，隐喻性的
portrayal,n. 描绘；画像，肖像
subtly,adv. 精细地；巧妙地；敏锐地
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
duality,n. 二元性； 二象性
interpersonal,adj. 人际的；人与人之间的
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
fictitious,adj. 虚构的；假想的；编造的；假装的
reluctant,adj. 不情愿的；勉强的；顽抗的
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
alienate,vt. 使疏远，离间；让与
restrain,vt. 抑制，控制；约束；制止
overindulgence,n. 放纵；沉溺；任性
surf on line,找不到解释
meet the needs of,"v. 适应
 满足……的需要；迎合……的需要；满足…的需求"
separate A from B,找不到解释
attempt to do sth.,找不到解释
isolate A from B,找不到解释
register for, 注册；选课；登记参加
be addicted to,"na. 嗜好
 沉溺于；对……上瘾；沉迷于"
face-to-face contact,面对面接触，当面接触
concentrate on,"na. 集中在；专心于
 全神贯注于；专注于；集中精力于"
restrain sb. from doing sth.,找不到解释
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
set barriers,找不到解释
portray,vt. 描绘；扮演
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
leftover,"n. 残留物；吃剩的饭菜；剩余物
adj. 残余的；吃剩的"
container,n. 集装箱；容器
rind,"n. 壳；外皮
vt. 剥壳；削皮"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
ignore,vt. 驳回诉讼；忽视；不理睬
ecological,adj. 生态的，生态学的
excessively,adv. 过分地；极度
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
unchecked,adj. 未经核对的；未加抑制的
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
unsustainable,adj. 无法支撑的；不可证实的；不能成立的
rectify,vt. 改正；精馏；整流
be filled with, 充满；装满；充满着
be flooded with, 充斥；充满；被……所淹没
serve as,"v. 用作；充当
 作为；担任；当作"
shrug off,"na. (耸肩)表示轻蔑；摆脱；扭身脱掉(衣服)
 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
exert pressure on,找不到解释
shore up,"v. 用支柱撑住
 支撑；支持；支持，支撑"
enhance one's awareness,找不到解释
take sth. into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
vividly,adv. 生动地；强烈地
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
preference,n. 偏爱，倾向；优先权
entrepreneurial,adj. 企业家的，创业者的；中间商的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
financial,adj. 金融的；财政的，财务的
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
intended,"n. 已订婚者
v. 打算；准备（intend的过去分词）
adj. 故意的，有意的；打算中的"
gloomy,adj. 黑暗的；沮丧的；阴郁的
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
optimal,adj. 最佳的；最理想的
the vast majority of ...,找不到解释
start one's own business,找不到解释
a variety of ...,找不到解释
run one's own business,找不到解释
financial status,"un. 财务状况；财政状况
 财务状况调查；公司财务情况；财务状态"
financial situation,"un. 财务状态；财政状况
 财务状况；个人财政状况；经济情况"
financial strain,"un. 资金紧张
 经济负担；财政压力"
take sth. into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
career prospect,找不到解释
symbolically,adv. 象征性地；象征意义地
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
emphasize,vt. 强调，着重
innovation,n. 创新，革新；新方法
portrayal,n. 描绘；画像，肖像
intimidate,vt. 恐吓，威胁；胁迫
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
impasse,n. 僵局；死路
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
unemployed,adj. 失业的；未被利用的
clinical,adj. 临床的；诊所的
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
best-selling,"n. 畅销品
adj. 最畅销的；畅销作品的"
hardship,n. 困苦；苦难；艰难险阻
unavoidable,adj. 不可避免的；不能废除的
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
unbeatable,adj. 无敌的；无以伦比的
course selective system,找不到解释
an either-or choice,找不到解释
take a shortcut,"走捷径,抄小路"
strengthen one's will,找不到解释
lead sb. out of ...,找不到解释
commit suicide,"na. 自杀；自尽
 寻短见；自裁；自杀身亡"
under such circumstances,找不到解释
in summary,"adv. 扼要
 总之；总结；总的来说"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
shortage,n. 缺乏，缺少；不足
leftover,"n. 残留物；吃剩的饭菜；剩余物
adj. 残余的；吃剩的"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
depletion,n. 消耗；损耗；放血
degradation,n. 退化；降格，降级；堕落
be aware of,"na. 知道
 意识到；觉察；了解"
cut down on,"un. 削减；节省；减轻
 减少；继续，保持；振作"
climate change,"n. 气候变化
 气候变迁；气候改变；气候变暖"
make a positive difference,找不到解释
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
turn off,"v. 关掉
 关上；关闭；解雇"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
indicate,vt. 表明；指出；预示；象征
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
multitude,n. 群众；多数
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
admission,n. 承认；入场费；进入许可；坦白；录用
convince,vt. 说服；使确信，使信服
advisable,adj. 明智的，可取的，适当的
derive,"vt. 源于；得自；获得
vi. 起源"
depend on,"v. 依靠
 依赖；取决于；视……而定"
long for,"v. 渴望
 盼望；思慕；思念"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
average people, 普通老百姓；一般人
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
in view of,"na. 鉴于；为要；在…能看见的地方；估计到才
 考虑到；由于；为了"
vividly,adv. 生动地；强烈地
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
tenacity,n. 韧性；固执；不屈不挠；黏性
quickness,n. 急速，迅速；尖锐化
coincidence,n. 巧合；一致；同时发生
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
mindset,n. 心态；倾向；习惯；精神状态
enterprise,n. 企业；事业；进取心；事业心
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
utilize,vt. 利用
endowment,n. 捐赠；捐助；捐款；天资
play a role in,"v. 起作用于
 在……中起作用；在……扮演一个角色；在……中扮演角色"
in addition to,"na. 加之
 除…之外；除了；除…外"
stem from,"v. 出于；基于
 起源于；来自；源自"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
in sum,"na. 总之
 总而言之；大体上；一言以蔽之"
a combination of, 一种……的结合；合成；组成
make the most of,"na. 充分使用；尽量使好看；极为重视；尽量称赞
 充分利用；尽量利用；充分展示"
capitalize on,"v. 利用
 投机倒把；从中利用；获利"
ax,"n. 斧头
vt. 削减；用斧修整；解雇"
hew,"vt. 砍；劈；砍倒
vi. 砍；劈；坚持"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
precious,adj. 宝贵的；珍贵的；矫揉造作的
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
indicate,vt. 表明；指出；预示；象征
conservatism,n. 保守主义；守旧性
regression,n. 回归；退化；逆行；复原
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
innovation,n. 创新，革新；新方法
watchword,n. 口号；标语；口令；暗号
innumerable,adj. 无数的，数不清的
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
ascribe,vt. 归因于；归咎于
entrepreneur,n. 企业家；承包人；主办者
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
dedicated,"adj. 专用的；专注的；献身的
v. 以…奉献；把…用于（dedicate的过去式和过去分词）"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
hew out,un. 劈出；开辟出:；努力开创；闯出:
attach importance to,"na. 重视；把重点放在
 十分重视；认为重要；着重于"
to begin with,"na. 首先；本来
 第一；一开始；起初"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
live trial,找不到解释
be ascribed to, 归结于
for instance,"na. 例如
 比如；举例说；举例来说"
put emphasis on,"na. 着重在；强调
 重视；加强；强调某事"
reward sb. with sth.,找不到解释
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
civilization,n. 文明；文化
pleasantly,adv. 愉快地；和蔼地，亲切地；友好地
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
obviously,"adv. 明显地
显然地"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
thrive,vi. 繁荣，兴旺；茁壮成长
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
preservation,n. 保存，保留
commercialization,n. 商品化，商业化
widespread,adj. 普遍的，广泛的；分布广的
growing,"v. 生长（grow的ing形式）
adj. 发展的；成长的"
age-old,adj. 古老的；由来已久的
modernization,n. 现代化
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
tragedy,n. 悲剧；灾难；惨案
immeasurable,adj. 无限的； 不可计量的；不能测量的
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
unwavering,adj. 坚定的；不动摇的
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
in the photo above,找不到解释
in my opinion,"na. 我的意见是
 在我看来；我认为；依我看"
traditional Chinese culture,找不到解释
be destined to, 注定；注定要；注定的
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
on the part of, 就…而言，在…一边，由…表现出来的，由…所经历的，由…所作出的
a developing country,找不到解释
in the shadow of,"na. 在…的附近；与…很接近
 与...很接近；在...的附近；在附近"
as a result of,"na. (作)为…的结果
 由于；由于…的结果；作为…的结果"
Tai Chi,找不到解释
Kung Fu,找不到解释
Peking opera,找不到解释
inseparable,"n. 不可分离的事物；形影不离的朋友
adj.  不可分割的；不能分离的"
vividly,adv. 生动地；强烈地
depict,vt. 描述；描画
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
actually,adv. 实际上；事实上
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
ironic,adj. 讽刺的；反话的
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
exaggerative,adj. 夸张的
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
portrayal,n. 描绘；画像，肖像
subtly,adv. 精细地；巧妙地；敏锐地
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
duality,n. 二元性； 二象性
currently,adv. 当前；一般地
considerably,adv. 相当地；非常地
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
resemble,vt. 类似，像
kaleidoscope,n. 万花筒；千变万化
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
illusion,n. 幻觉，错觉；错误的观念或信仰
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
fictitious,adj. 虚构的；假想的；编造的；假装的
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
consequently,adv. 因此；结果；所以
immoderately,adv. 过度地，无节制地
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
inevitably,adv. 不可避免地；必然地
restrain,vt. 抑制，控制；约束；制止
overindulgence,n. 放纵；沉溺；任性
shackle,"n. 束缚；桎梏；脚镣
vt. 束缚；加枷锁"
develop a relationship with sb.,找不到解释
be convenient for sb. to do sth.,找不到解释
surf online,找不到解释
become a daily routine in our life,找不到解释
the relationship between ... and ...,找不到解释
discussions on,找不到解释
on the one hand,"na. 一方面
 在一方面；一方面…在另一方面；这一方面"
people from different walks of life,找不到解释
benefit from,"v. 从…得到好处
 受益于；从……中受益；从…中获益"
register for, 注册；选课；登记参加
web courses,找不到解释
exchange information with sb.,找不到解释
a net friend,找不到解释
download music,找不到解释
a veteran online shopper,找不到解释
at much lower prices,找不到解释
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
a good many,"na. 很多的
 许多；相当多；大量的"
be addicted to,"na. 嗜好
 沉溺于；对……上瘾；沉迷于"
indulge in,"v. 沉迷于
 沉溺于；沉湎于；尽情享受"
concentrate on,"na. 集中在；专心于
 全神贯注于；专注于；集中精力于"
play computer games, 玩电脑游戏；打电脑游戏；玩电子游戏
lead to failure in exams,找不到解释
in a reasonable way,找不到解释
restrain from, 抑制；制止；控制
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
enrich our life,找不到解释
improve the efficiency of,找不到解释
shackle sb. with a chain,找不到解释
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
extensively,adv. 广阔地；广大地
tendency,n. 倾向，趋势；癖好
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
derive,"vt. 源于；得自；获得
vi. 起源"
companionship,n. 友谊；陪伴；交谊
instruction,n. 指令，命令；指示；教导；用法说明
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
contentment,n. 满足；满意
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
boulevard,"n.  林荫大道；（美）大马路
adj. 娱乐性的
vt. 给…提供林阴大街；把…建成林阴大街"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
advent,n. 到来；出现；基督降临；基督降临节
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
be absorbed in,"na. 全神贯注在…；热衷于
 全神贯注于；专心于；一心从事"
concentrate on,"na. 集中在；专心于
 全神贯注于；专注于；集中精力于"
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
a wide range of,"un. 许多
 广泛的；范围广泛的；很大的范围"
marvel at,"v. 对…感到惊异
 惊奇；惊叹；感到惊讶"
Niagara Falls,找不到解释
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
intellectual ability, 智力；心理能力；智能
broaden one's mind,找不到解释
appearance,n. 外貌，外观；出现，露面
depict,vt. 描述；描画
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
therapeutic,"n. 治疗剂；治疗学家
adj. 治疗的；治疗学的；有益于健康的"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
tremendous,adj. 极大的，巨大的；惊人的；极好的
enlargement,n. 放大；放大的照片；增补物
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
mammary,adj. 乳腺的； 乳房的
gland,"n. 腺
密封压盖"
mainstream,n. 主流
cultivation,n. 培养；耕作；耕种；教化；文雅
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
a great many,"na. 很多的
 许多；大量；许许多多"
fall into the category,找不到解释
plastic surgery,"n. 整形外科
 整形手术；整容手术；整形外科学"
breast feed,"v. 自己奶养(婴孩)；给(婴儿)喂奶
 母乳喂养；哺乳；喂母奶"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
lay more attention on,找不到解释
in the long run,"na. 归根到底；“in the long run/term”的变体
 从长远来看；最后；从长远观点看"
symbolically,adv. 象征性地；象征意义地
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
stethoscope,"n.  听诊器
vt. 用听诊器诊断"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
apparently,adv. 显然地；似乎，表面上
numerous,adj. 许多的，很多的
variously,adv. 不同地；多方面地；个别地；多彩地
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
energetic,adj. 精力充沛的；积极的；有力的
sufficient,adj. 足够的；充分的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
adversity,n. 逆境；不幸；灾难；灾祸
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
vigorous,adj. 有力的；精力充沛的
optimistic,adj. 乐观的；乐观主义的
persistent,adj. 固执的，坚持的；持久稳固的
wear a white gown,找不到解释
keep fit,"na. 保持健康
 保持身体健康；健身；保持身材"
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
physical exercises,"n. 体操
 体育锻炼；运动；体育活动"
put emphasis on,"na. 着重在；强调
 重视；加强；强调某事"
be indispensible to,"对...必不可少, 对...是必需的"
what's more, 而且；另外；更重要的是
in adversity,"na. 在艰难中
 在逆境中；在困境里；在失意时"
maintain an optimistic mentality to,找不到解释
pains and sorrows,找不到解释
twists and turns,"na. 迂回曲折；曲折复杂的情况
 一波三折；周折；迂回曲折之处"
as far as I am concerned, 就我而言；就个人而言；据我所知
have interest in, 有兴趣；对……感兴趣；是在某方面有兴趣
keep a balanced diet,找不到解释
burn the midnight oil,"na. 干到深夜；开夜车
 挑灯夜战；熬夜；熬夜读书"
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
be harmful to, 对…有害；对…有危害；对……是有害的
to sum up, 总之；概括地说；总之，总而言之
plagiarize,"vt. 剽窃；抄袭
vi. 剽窃；抄袭"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
propel,vt. 推进；驱使；激励；驱策
perpetrator,n. 犯罪者；作恶者；行凶者
reputation,n. 名声，名誉；声望
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
deceitful,adj. 欺骗的；欺诈的；谎言的；虚伪的
prevalent,adj. 流行的；普遍的，广传的
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
facet,"n. 面；方面；小平面
vt. 在…上琢面"
in an attempt to,"un. 未遂罪；设法；从而
 试图；力图；企图"
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
for instance,"na. 例如
 比如；举例说；举例来说"
be detrimental to, 对……有害的；有害于；对…有害
at large,"na. 随便；拉杂地
 逍遥法外；在逃；未被捕获的"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
subscription,n. 捐献；订阅；订金；签署
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
telecommunication,n. 电讯； 远程通信；无线电通讯
incredible,adj. 难以置信的，惊人的
extremely,adv. 非常，极其；极端地
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
civilization,n. 文明；文化
enlargement,n. 放大；放大的照片；增补物
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
restraint,n. 抑制，克制；约束
prevalent,adj. 流行的；普遍的，广传的
imbue,vt. 灌输；使感染；使渗透
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
prudence,n. 审慎
discretion,n. 自由裁量权；谨慎；判断力；判定；考虑周到
sidestep,"n. 台阶；横跨的一步
vt. 回避；横跨一步躲避
vi. 回避问题；侧向跨步"
drawback,n. 缺点，不利条件；退税
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
a striking contrast,找不到解释
a dramatic increase,找不到解释
meet the demand of,找不到解释
narrow the distance between,找不到解释
a double-edged sword, 双刃剑（指有利有弊的情况或行为）; 宝剑
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
determinant,"n. 决定因素； 行列式
adj. 决定性的"
undertake,vt. 承担，保证；从事；同意；试图
responsibility,n. 责任，职责；义务
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
status,n. 地位；状态；情形；重要身份
symbol,n. 象征；符号；标志
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
relatively,adv. 相当地；相对地，比较地
convinced,"v. 使确信（convince的过去分词）；说服
adj. 确信的；深信的"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
expectation,n. 期待；预期；指望
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
in contrast,"adv. 相反
 相比之下；对比；成对比"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
be under pressure, 有压力；在压力之下；受到压力
be inclined to,"v. 倾向于；想要
 有意；有某种倾向；倾向做某事"
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
in view of,"na. 鉴于；为要；在…能看见的地方；估计到才
 考虑到；由于；为了"
be content with,"na. 以…为满足
 对…满意；满足于；对……满足"
pay more attention to, 更加注意；注重；更注重
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
cultivate,vt. 培养；陶冶；耕作
phenomenon,n. 现象；奇迹；杰出的人才
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
incredible,adj. 难以置信的，惊人的
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
boulevard,"n.  林荫大道；（美）大马路
adj. 娱乐性的
vt. 给…提供林阴大街；把…建成林阴大街"
bitterness,n. 苦味；苦难；怨恨
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
forthcoming,"n. 来临
adj. 即将来临的"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
aim at,"v. 目的在于
 瞄准；针对；旨在"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
