comprehension,n. 理解；包含
creation,n. 创造，创作；创作物，产物
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
financial,adj. 金融的；财政的，财务的
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
inventory,n. 存货，存货清单；详细目录；财产清册
literature,n. 文学；文献；文艺；著作
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
concept,n. 观念，概念
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
investigate,v. 调查；研究
occur,vi. 发生；出现；存在
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
competitive,adj. 竞争的；比赛的；求胜心切的
consist,vi. 由…组成；在于；符合
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
economy,n. 经济；节约；理财
efficient,adj. 有效率的；有能力的；生效的
eliminate,vt. 消除；排除
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
species,"n.  物种；种类
adj. 物种上的"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
climate,n. 气候；风气；思潮；风土
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
confront,vt. 面对；遭遇；比较
construct,"n. 构想，概念
vt. 建造，构造；创立"
describe,vt. 描述，形容；描绘
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
emotion,n. 情感；情绪
engine,n. 引擎，发动机；机车，火车头；工具
enhance,vt. 提高；加强；增加
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
establish,"vi. 植物定植
vt. 建立；创办；安置"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
intense,adj. 强烈的；紧张的；非常的；热情的
oppose,"vt. 反对；对抗，抗争
vi. 反对"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
response,n. 响应；反应；回答
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
solution,n. 解决方案；溶液；溶解；解答
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
sufficient,adj. 足够的；充分的
survival,n. 幸存，残存；幸存者，残存物
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
addition,n. 添加； 加法；增加物
application,n. 应用；申请；应用程序；敷用
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complicated,adj. 难懂的，复杂的
confirm,vt. 确认；确定；证实；批准；使巩固
consequence,n. 结果；重要性；推论
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
cope,"n. 长袍
vi. 处理；对付；竞争"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
destruction,n. 破坏，毁灭；摧毁
equip,vt. 装备，配备
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
fund,"n. 基金；资金；存款
vt. 投资；资助"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intelligent,adj. 智能的；聪明的；理解力强的
norm,n. 标准，规范
notion,n. 概念；见解；打算
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
appearance,n. 外貌，外观；出现，露面
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
attribute,"n. 属性；特质
vt. 归属；把…归于"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
communication,n. 通讯， 通信；交流；信函
complaint,n. 抱怨；诉苦；疾病；委屈
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
deserve,"vi. 应受，应得
vt. 应受，应得"
disaster,n. 灾难，灾祸；不幸
efficiency,n. 效率；效能；功效
equality,n. 平等；相等； 等式
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
ignore,vt. 驳回诉讼；忽视；不理睬
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
innovation,n. 创新，革新；新方法
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
poverty,n. 贫困；困难；缺少；低劣
refusal,n. 拒绝；优先取舍权；推却；取舍权
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
valid,adj. 有效的；有根据的；合法的；正当的
vital,adj. 至关重要的；生死攸关的；有活力的
accurate,adj. 精确的
additional,adj. 附加的，额外的
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
attractive,adj. 吸引人的；有魅力的；引人注目的
authority,n. 权威；权力；当局
capacity,n. 能力；容量；资格，地位；生产力
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
employment,n. 使用；职业；雇用
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
insight,n. 洞察力；洞悉
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
instruct,vt. 指导；通知；命令；教授
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interaction,"n. 相互作用； 交互作用
n. 互动"
majority,n. 多数；成年
manufacturer,n. 制造商； 厂商
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
priority,n. 优先；优先权； 优先次序；优先考虑的事
privacy,n. 隐私；秘密；隐居；隐居处
procedure,n. 程序，手续；步骤
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
rarely,adv. 很少地；难得；罕有地
reaction,n. 反应，感应；反动，复古；反作用
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
transaction,n. 交易；事务；办理；会报，学报
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
whereas,conj. 然而；鉴于；反之
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accomplish,vt. 完成；实现；达到
acquire,vt. 获得；取得；学到；捕获
adapt,"vi. 适应
vt. 使适应；改编"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
analyse,vt. 分析；分解；细察
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
audience,n. 观众；听众；读者；接见；正式会见；拜会
basis,n. 基础；底部；主要成分；基本原则或原理
cancer, 巨蟹座
candidate,n. 候选人，候补者；应试者
compete,vi. 竞争；比赛；对抗
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
contribution,n. 贡献；捐献；投稿
convey,vt. 传达；运输；让与
criticism,n. 批评；考证；苛求
demonstrate,"vt. 证明；展示；论证
vi. 示威"
deprive,vt. 使丧失，剥夺
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
device,n. 装置；策略；图案
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
electronic,"adj. 电子的
n. 电子电路；电子器件"
emphasize,vt. 强调，着重
enthusiastic,adj. 热情的；热心的；狂热的
entitle,vt. 称做…；定名为…；给…称号；使…有权利
exceed,"vt. 超过；胜过
vi. 超过其他"
excessive,adj. 过多的，极度的；过分的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
existence,n. 存在，实在；生存，生活；存在物，实在物
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
expose,vt. 揭露，揭发；使曝光；显示
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
instance,"n. 实例；情况；建议
vt. 举...为例"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
modify,"vt. 修改，修饰；更改
vi. 修改"
moreover,adv. 而且；此外
motivate,vt. 刺激；使有动机；激发…的积极性
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
persistent,adj. 固执的，坚持的；持久稳固的
property,n. 性质，性能；财产；所有权
psychological,adj. 心理的；心理学的；精神上的
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
restrict,vt. 限制；约束；限定
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
suspicious,adj. 可疑的；怀疑的；多疑的
sustain,vt. 维持；支撑，承担；忍受；供养；证实
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
trivial,adj. 不重要的，琐碎的；琐细的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
victim,n. 受害人；牺牲品；牺牲者
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
achievement,n. 成就；完成；达到；成绩
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
assignment,n. 分配；任务；作业；功课
circumstance,n. 环境，情况；事件；境遇
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
comply,vi. 遵守；顺从，遵从；答应
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
conscious,adj. 意识到的；故意的；神志清醒的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
controversy,n. 争论；论战；辩论
conventional,adj. 符合习俗的，传统的；常见的；惯例的
credible,adj. 可靠的，可信的
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
distinct,adj. 明显的；独特的；清楚的；有区别的
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
diverse,adj. 不同的；多种多样的；变化多的
electron,n. 电子
element,n. 元素；要素；原理；成分；自然环境
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
inevitable,adj. 必然的，不可避免的
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
interpret,"vi. 解释；翻译
vt. 说明；口译"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
obtain,"vi. 获得；流行
vt. 获得"
occupy,vt. 占据，占领；居住；使忙碌
phenomenon,n. 现象；奇迹；杰出的人才
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
region,n. 地区；范围；部位
retain,vt. 保持；雇；记住
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
stability,n. 稳定性；坚定，恒心
strategy,n. 战略，策略
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
urban,adj. 城市的；住在都市的
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
acknowledge,vt. 承认；答谢；报偿；告知已收到
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
alter,"vt. 改变，更改
vi. 改变；修改"
ambiguous,adj. 模糊不清的；引起歧义的
anticipate,vt. 预期，期望；占先，抢先；提前使用
apartment,n. 公寓；房间
ascribe,vt. 归因于；归咎于
association,n. 协会，联盟，社团；联合；联想
assure,vt. 保证；担保；使确信；弄清楚
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
consumption,n. 消费；消耗；肺痨
convince,vt. 说服；使确信，使信服
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
depress,vt. 压抑；使沮丧；使萧条
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
detect,vt. 察觉；发现；探测
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
emphasis,n. 重点；强调；加强语气
enforce,vt. 实施，执行；强迫，强制
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
enthusiasm,n. 热心，热忱，热情
evolution,n. 演变；进化论；进展
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
extensive,adj. 广泛的；大量的；广阔的
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
incidentally,adv. 顺便；偶然地；附带地
install,vt. 安装；任命；安顿
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
merely,adv. 仅仅，只不过；只是
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
optimism,n. 乐观；乐观主义
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
perspective,"n. 观点；远景；透视图
adj. 透视的"
planet,n. 行星
presentation,n. 展示；描述，陈述；介绍；赠送
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
profession,n. 职业，专业；声明，宣布，表白
profound,adj. 深厚的；意义深远的；渊博的
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
