bookworm,n. 书呆子；蠹鱼，蛀书虫
modern-day,adj. 当代的；今日的
stepmother,n. 继母，后母
stepsister,n. 异父（母）姊妹
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
Ireland,n. 爱尔兰
rescue,"n. 营救；援救；解救
vt. 营救；援救"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
Scotland,n. 苏格兰
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
reputation,n. 名声，名誉；声望
debt,n. 债务；借款；罪过
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
touch on,"na. 说到
 涉及；提及；谈及"
intend,"vi. 有打算
vt. 打算；想要；意指"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
melodic,adj. 有旋律的；音调优美的
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
thou,pron. 你；尔，汝（古时候的叫法）
thee,pron. 你（古英语thou的宾格）
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
bonnie,"n. 美女（等于bonny）
adj. 漂亮的
adv. 极妙地"
lass,n. 小姑娘；情侣；（苏格兰）女佣
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
string,n. 线，弦，细绳；一串，一行
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
stubborn,adj. 顽固的；顽强的；难处理的
princess,n. 公主；王妃；女巨头
condemn,vt. 谴责；判刑，定罪；声讨
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
ask for somebody's hand in marriage,
prince,n. 王子，国君；亲王；贵族
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
fall in love,"v. 坠入情网
 坠入爱河；相爱；爱上"
at first sight,"na. 乍看；一见就；乍看起来
 乍一看；初看起来；真情难舍"
unwilling,adj. 不愿意的；不情愿的；勉强的
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
evident,adj. 明显的；明白的
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
merciful,adj. 仁慈的；慈悲的；宽容的
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
deadline,n. 截止期限，最后期限
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
opportunity,n. 时机，机会
unemployment,n. 失业；失业率；失业人数
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
department,n. 部；部门；系；科；局
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
composer,n. 作曲家；作家，著作者；设计者
motherland,n. 祖国；母国
Austria,n. 奥地利
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
symphony,n. 交响乐；谐声，和声
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
flute,"n. 长笛；(刀具的)出屑槽
vt. 用长笛吹奏
vi. 吹长笛"
kindergarten,n. 幼儿园；幼稚园
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
album,n. 相簿；唱片集；集邮簿；签名纪念册
collection,n. 采集，聚集； 征收；收藏品；募捐
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
blues,"n. 忧郁布鲁斯歌曲；蓝色物（blue的复数）
v. 把…染成蓝色（blue的第三人称单数）"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
slavery,n. 奴役；奴隶制度；奴隶身份
tendency,n. 倾向，趋势；癖好
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
spring up,"na. 跳上来；发生；萌芽；出现
 涌现；迅速生长；突然出现"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
liberty,n. 自由；许可；冒失
rock and roll,"n. 摇滚乐
 摇摆舞；摇滚音乐；乐与怒"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
rhythm,n. 节奏；韵律
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
comet,n.  彗星
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
discrimination,n. 歧视；区别，辨别；识别力
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
mural,"adj. 墙壁的
n. 壁画；（美）壁饰"
still life,"n. 静物画技法
 三峡好人；静物写生；静止的生活"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
Spain,n. 西班牙
birthplace,"n. 出生地
发源地"
architecture,n. 建筑学；建筑风格；建筑式样；架构
output,"n. 输出，输出量；产量；出产
vt. 输出"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
Cubism,
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
rectangle,n. 矩形；长方形
consensus,n. 一致；舆论；合意
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
Impressionism,
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
water lily,"n. 睡莲
 荷花；水百合；水莲"
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
Impressionist,
oil painting,"n. 油画；油画艺术
 油画作品；油画类；油画儿"
starry,adj. 布满星星的；闪闪发光的；星光照耀的；星形的
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
franc,"n. 法郎
法郎体系"
upwards of,"na. …以上
 多于；超过；以上的"
be off to, 动身去；离开去；去……地方
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
changeable,adj. 无常的；可改变的；易变的；不定的
ankle,n. 踝关节，踝
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
accommodation,n. 住处，膳宿；调节；和解；预订铺位
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
passer-by,n. 过路人；经过的人
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
admission,n. 承认；入场费；进入许可；坦白；录用
scenery,n. 风景；景色；舞台布景
scholarship,n. 奖学金；学识，学问
cloth,"n. 布；织物；桌布
adj. 布制的"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
chef,n. 厨师，大师傅
seaweed,n. 海藻，海草
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
 切碎；剪碎；宰后得肉"
onion,n. 洋葱；洋葱头
pineapple,"n.  菠萝； 凤梨
adj. 凤梨科的"
eggplant,"n. 茄子
adj. 深紫色的"
seashell,n. 海贝，贝壳；海贝壳
lay out,"n. 布局；设计；规划；安排
 布置；摆开；花费"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
disgusting,"adj. 令人厌恶的
令人极不能接受的"
aluminium,"n. 铝
adj. 铝的"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
paintbrush,n. 画笔；漆刷
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
cut something out,
cut something out of something,
have a go,"un. 走到…身边；试一试；好好干一场
 试一下；尝试；试看看"
have a go at,"v. 试一试
 尝试；训斥；没有通过"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
spokesman,n. 发言人；代言人
criterion,n. （批评判断的）标准；准则；规范；准据
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
in defence of,"na. 以防卫
 为……辩护；保卫；为保卫"
restriction,n. 限制；约束；束缚
deliberately,adv. 故意地；谨慎地；慎重地
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
expose,vt. 揭露，揭发；使曝光；显示
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
resemble,vt. 类似，像
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
preference,n. 偏爱，倾向；优先权
top-ranking,adj. 一流的
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
disappointment,n. 失望；沮丧
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
tiresome,adj. 烦人的，无聊的；令人讨厌的
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
sincere,adj. 真诚的；诚挚的；真实的
congratulation,n. 祝贺；贺辞
screenwriter,n. 编剧家；电影剧本作家
full-length,adj. 全身的；全长的，未删节的；大型的
robbery,n. 抢劫，盗窃；抢掠
anecdote,n. 轶事；奇闻；秘史
biography,n. 传记；档案；个人简介
accumulate,"vt. 积攒
vi. 累积；积聚"
popcorn,n. 爆米花，爆玉米花
salty,adj. 咸的；含盐的
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
thriller,n. 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
touchstone,n. 试金石；（检验）标准
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
concubine,n. 妾；情妇；姘妇
lantern,n. 灯笼；提灯；灯笼式天窗
philosopher,n. 哲学家；哲人
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
forehead,n. 额，前额
wizard,"n. 男巫；术士；奇才；向导程序
adj. 男巫的；巫术的"
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
curriculum,"n. 课程
总课程"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
fierce,adj. 凶猛的；猛烈的；暴躁的
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
attraction,n. 吸引，吸引力；引力；吸引人的事物
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
disappoint,vt. 使失望
give thought to, 考虑；思考；考虑某事
