characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
enthusiastic,adj. 热情的；热心的；狂热的
cautious,adj. 谨慎的；十分小心的
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
universe,n. 宇宙；世界；领域
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
kingdom,n. 王国；界；领域
consist,vi. 由…组成；在于；符合
consist of,"v. 由…合成
 由……组成；由…构成；包括"
London Heathrow,
province,n. 省；领域；职权
River Avon, 雅芳河；埃文河；雅芳河畔
River Thames, 泰晤士河；伦敦泰晤士河；泰晤士河畔
River Severn, 塞文河；塞汶河；塞文河水
divide ... into,
Wales,n. 威尔士（英国大不列颠岛西南部地区）
Scotland,n. 苏格兰
Northern Ireland,"na. 北爱尔兰
 北爱尔兰自治区；介绍北爱尔兰；北爱尔兰的大学"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
accomplish,vt. 完成；实现；达到
unwilling,adj. 不愿意的；不情愿的；勉强的
break away,"v. 逃脱；突然离开；突然离去；挣脱
 脱离；逃跑；摆脱"
break away from,"v. 脱离；离开；断绝与…的关系
 摆脱；从…脱离；脱离等"
union,n. 联盟，协会；工会；联合
the Union Jack,"na. 英国国旗
 英联合王国国旗；米字旗；杰克联合旗"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
to one's credit, 值得赞扬；为……带来荣誉；在……名下
currency,n. 货币；通货
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
educational,adj. 教育的；有教育意义的
convenience,n. 便利；厕所；便利的事物
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
roughly,adv. 粗糙地；概略地
Midlands,中部地区
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
historical,adj. 历史的；史学的；基于史实的
architecture,n. 建筑学；建筑风格；建筑式样；架构
Roman,"n. 罗马人；古罗马语
adj. 罗马的；罗马人的"
collection,n. 采集，聚集； 征收；收藏品；募捐
administration,n. 管理；行政；实施；行政机构
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
Anglo-Saxon,n. 盎格鲁-撒克逊
Norman,
Viking,
countryside,n. 农村，乡下；乡下的全体居民
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
leave out,"na. 遗漏；忽略；(告诉某人)停下来
 省去；省略；不考虑"
opportunity,n. 时机，机会
description,n. 描述，描写；类型；说明书
furnished,"v. 供应；装备（furnish的过去分词）
adj. 家具，有家具的"
fax,
possibility,n. 可能性；可能发生的事物
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
take the place of,"na. 接替某人的位置
 代替；取代；替代"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
St Paul's Cathedral,
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
Westminster Abbey,"n. 西敏寺；威斯敏斯特大教堂
 威斯敏斯特教堂；西敏寺大教堂；威斯敏斯特修道院"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
Buckingham Palace,"n. 白金汉宫
 英国白金汉宫；白金汉宫卫兵交接；英国王宫"
Greenwich,n. 格林威治（英国伦敦东南一市镇， 从前皇家天文台的所在地； 通过该天文台的经线被定为本初子午线）
longitude,n.  经度；经线
imaginary,adj. 虚构的，假想的；想像的；虚数的
navigation,n. 航行；航海
Highgate Cemetery, 海格特公墓；海格尔公墓；海格特墓地
communism,n. 共产主义
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
error,n. 误差；错误；过失
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
consistent,adj. 始终如一的，一致的；坚持的
aspect,n. 方面；方向；形势；外貌
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
constantly,adv. 不断地；时常地
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
jet lag,"n. 时差反应；时差综合症
 飞行时差反应；时差失调；缘来有转机"
flashback,n. 倒叙；闪回；迷幻药效幻觉重现
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
expertise,n. 专门知识；专门技术；专家的意见
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
stewardess,n. 女管家；女干事；女服务员
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
surroundings,n. 环境；周围的事物
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
tolerate,vt. 忍受；默许；宽恕
combination,n. 结合；组合；联合； 化合
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
adjustment,n. 调整，调节；调节器
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
be back on one's feet,
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
carriage,n. 运输；运费；四轮马车；举止；客车厢
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
safety belt,"n. 安全带；(汽车)安全带；保险带
 救生带；系好安全带；安全腰"
lose sight of ...,
sweep up,"v. 打扫干净
 横扫；清扫；扫除"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
timetable,n. 时间表；时刻表；课程表
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
slide into,"n. 陷入；滑入；躺上；沉迷
 溜进；不知不觉地陷入；不知不觉地沾染上"
optimistic,adj. 乐观的；乐观主义的
pessimistic,adj. 悲观的，厌世的；悲观主义的
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
imitate,vt. 模仿，仿效；仿造，仿制
moveable,"adj. 可移动的
n. 动产"
citizen,n. 公民；市民；老百姓
typist,n. 打字员，打字者
typewriter,n. 打字机
postage,n. 邮资，邮费
postcode,n. （英）邮政编码；邮区号
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
receiver,n. 接收器；接受者；收信机；收款员，接待者
efficiency,n. 效率；效能；功效
efficient,adj. 有效率的；有能力的；生效的
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
dustbin,n. 垃圾箱；吃货
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposal,n. 处理；支配；清理；安排
ecology,n. 生态学；社会生态学
greedy,adj. 贪婪的；贪吃的；渴望的
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
goods,n. 商品；动产；合意的人；真本领
etc,adv. 等等，及其他
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
settlement,n. 解决，处理； 结算；沉降；殖民
motivation,n. 动机；积极性；推动
journalist,n. 新闻工作者；报人；记日志者
involve,vt. 包含；牵涉；使陷于；潜心于
editor,n. 编者，编辑；社论撰写人；编辑装置
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
photographer,n. 摄影师；照相师
photography,n. 摄影；摄影术
unforgettable,adj. 难忘的
assignment,n. 分配；任务；作业；功课
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
admirable,adj. 令人钦佩的；极好的；值得赞扬的
unusual,adj. 不寻常的；与众不同的；不平常的
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
profession,n. 职业，专业；声明，宣布，表白
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
colleague,n. 同事，同僚
eager,adj. 渴望的；热切的；热心的
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concentrate on,"na. 集中在；专心于
 全神贯注于；专注于；集中精力于"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
acquire,vt. 获得；取得；学到；捕获
assess,vt. 评定；估价；对…征税
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
deadline,n. 截止期限，最后期限
interviewee,n. 被接见者；被访问者
meanwhile,"adv. 同时，其间
n. 其间，其时"
depend on,"v. 依靠
 依赖；取决于；视……而定"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accuse ... of,"un. 控告
 指责；指控；因某事控告某人"
accusation,n. 控告，指控；谴责
deliberately,adv. 故意地；谨慎地；慎重地
so as to,"na. (= in order to) 以便；为使
 为了；为的是；使得"
so as to do sth,
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
guilty,adj. 有罪的；内疚的
dilemma,n. 困境；进退两难；两刀论法
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
concise,adj. 简明的，简洁的
imaginative,adj. 富于想象的；有创造力的
technical,adj. 工艺的，科技的；技术上的；专门的
technically,adv. 技术上；专门地；学术上；工艺上
thorough,adj. 彻底的；十分的；周密的
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
idiomatic,adj. 惯用的；符合语言习惯的；通顺的
housewife,n. 家庭主妇
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
edition,"n. 版本
版次
集"
ahead of,"prep. （时间、空间）在…前面；早于；领先
 先于；在……的前面；优于"
department,n. 部；部门；系；科；局
accurate,adj. 精确的
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
polish,
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
appointment,n. 任命；约定；任命的职位
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
first aid,"n. 急救
 急救方法；急救员；急救知识"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
fall ill,"na. 病倒；染疾
 生病；患病；得病"
injury,n. 伤害，损害；受伤处
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
nosebleed,n. 鼻出血；衄血
sprain,"n. 扭伤
vt. 扭伤"
sprained,扭伤的
ankle,n. 踝关节，踝
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
cupboard,n. 碗柜；食橱
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
organ,n.  器官；机构；风琴；管风琴；嗓音
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
variety,n. 多样；种类；杂耍；变化，多样化
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
radiation,n. 辐射；发光；放射物
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
mildly,adv. 温和地，和善地；适度地
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
electric shock,"n. 触电；电击；电休克
 电震；电击危险；电击触电"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
swollen,adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
blister,"n. 水泡；水疱；气泡；砂眼；起泡剂
vt. 使起水泡；痛打；猛烈抨击
vi. 起水泡"
watery,adj. 水的；淡的；湿的；松软的；有雨意的
char,"vt. 把…烧成炭
n. 炭；家庭杂务
vi. 烧焦；打杂"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
unbearable,adj. 难以忍受的；承受不住的
basin,n. 水池；流域；盆地；盆
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
squeeze out,"na. 榨取；排斥
 挤出；榨出；排挤"
over and over again,"na. 翻来覆去
 反复；一次又一次；反复地"
bandage,"n. 绷带
vt. 用绷带包扎"
in place,"na. 得其所；适当的
 在适当的位置；在合适的位置；适当地"
ointment,n. 药膏； 油膏
infection,n. 感染；传染；影响；传染病
vital,adj. 至关重要的；生死攸关的；有活力的
symptom,n.  症状；征兆
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
kettle,n. 壶； 釜；罐；鼓
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
Casey,
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
tightly,adv. 紧紧地；坚固地
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
firmly,adv. 坚定地，坚决地；坚固地，稳固地
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
Janson,
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
bravery,n. 勇敢；勇气
Slade,n. 犁的底部，犁踵
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
a number of,"na. 若干；=numbers of 许多的
 一些；大量的；很多"
put one's hands on,"un. 弄到手；算出来
 找到"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
ambulance,n.  救护车；战时流动医院
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
Southerton, 萨瑟顿；撒瑟顿
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
