solve,"vt. 解决；解答；溶解
vi. 作解答"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
applause,n. 欢呼，喝采；鼓掌欢迎
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
handbook,n. 手册；指南
create,vt. 创造，创作；造成
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
cling,vi. 坚持，墨守；紧贴；附着
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
advent,n. 到来；出现；基督降临；基督降临节
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
inevitable,adj. 必然的，不可避免的
formation,n. 形成；构造；编队
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
misfortune,n. 不幸；灾祸，灾难
necessitate,vt. 使成为必需，需要；迫使
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
nominate,vt. 推荐；提名；任命；指定
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
undertake,vt. 承担，保证；从事；同意；试图
fund,"n. 基金；资金；存款
vt. 投资；资助"
superstition,n. 迷信
numerous,adj. 许多的，很多的
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
magnetic,adj. 地磁的；有磁性的；有吸引力的
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
legislation,n. 立法；法律
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
depict,vt. 描述；描画
meditation,n. 冥想；沉思，深思
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
fiscal,adj. 会计的，财政的；国库的
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
restrict,vt. 限制；约束；限定
behavior,n. 行为，举止；态度；反应
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
occasional,adj. 偶然的；临时的；特殊场合的
superfluous,adj. 多余的；不必要的；奢侈的
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
costly,adj. 昂贵的；代价高的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
inference,n. 推理；推论；推断
abound,vi. 富于；充满
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
delegate,"n. 代表
vt. 委派…为代表"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
intend,"vi. 有打算
vt. 打算；想要；意指"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
verify,vt. 核实；查证
entity,n. 实体；存在；本质
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
dedicate,vt. 致力；献身；题献
consequence,n. 结果；重要性；推论
drip,"n. 水滴，滴水声；静脉滴注；使人厌烦的人
vt. 使滴下；溢出，发出
vi. 滴下；充满；漏下"
explosion,n. 爆炸；爆发；激增
amiable,adj. 和蔼可亲的，亲切的
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
accurate,adj. 精确的
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
wisdom,n. 智慧，才智；明智；学识；至理名言
diabetes,n. 糖尿病；多尿症
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
depress,vt. 压抑；使沮丧；使萧条
misunderstand,vt. 误解；误会
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
client,n.  客户；顾客；委托人
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
decisive,adj. 决定性的；果断的，坚定的
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
benign,adj. 良性的；和蔼的，亲切的；吉利的
historical,adj. 历史的；史学的；基于史实的
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
region,n. 地区；范围；部位
statement,n. 声明；陈述，叙述；报表，清单
manual,"adj. 手工的；体力的
n. 手册，指南"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
residence,n. 住宅，住处；居住
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
modernization,n. 现代化
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
arise,vi. 出现；上升；起立
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
perspective,"n. 观点；远景；透视图
adj. 透视的"
destructive,adj. 破坏的；毁灭性的；有害的，消极的
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
prestige,n. 威望，声望；声誉
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
thrift,n. 节俭；节约； 海石竹
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
obstruction,n. 障碍；阻碍；妨碍
inner,"n. 内部
adj. 内部的；内心的；精神的"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
parliament,n. 议会，国会
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
prolong,vt. 延长；拖延
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
chronic,adj. 慢性的；长期的；习惯性的
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
rhythm,n. 节奏；韵律
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
exert,vt. 运用，发挥；施以影响
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
odds,n. 几率；胜算；不平等；差别
pursuit,n. 追赶，追求；职业，工作
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
restraint,n. 抑制，克制；约束
wit,"n. 智慧；才智；智力
v. <古>知道；即"
prosperous,adj. 繁荣的；兴旺的
await,vt. 等候，等待；期待
obsession,n. 痴迷；困扰； 强迫观念
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
aspire,vi. 渴望；立志；追求
sarcastic,adj. 挖苦的；尖刻的，辛辣的
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
genetic,adj. 遗传的；基因的；起源的
automation,n. 自动化；自动操作
expansion,n. 膨胀；阐述；扩张物
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
privacy,n. 隐私；秘密；隐居；隐居处
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
wardrobe,n. 衣柜；行头；全部戏装
interpret,"vi. 解释；翻译
vt. 说明；口译"
conversion,n. 转换；变换； 兑换；改变信仰
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
threat,n. 威胁，恐吓；凶兆
hostage,n. 人质；抵押品
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
unify,vt. 统一；使相同，使一致
outskirts,n. 市郊，郊区
congress,n. 国会；代表大会；会议；社交
aftermath,n. 后果；余波
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
elite,n. 精英；精华；中坚分子
majority,n. 多数；成年
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
nonetheless,adv. 尽管如此，但是
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
status,n. 地位；状态；情形；重要身份
vitamin,n.  维生素； 维他命
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
masterpiece,n. 杰作；绝无仅有的人
commemorate,vt. 庆祝，纪念；成为…的纪念
enrich,vt. 使充实；使肥沃；使富足
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
worth,"n. 价值；财产
adj. 值…的"
provoke,vt. 驱使；激怒；煽动；惹起
toxic,adj. 有毒的；中毒的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
salvation,n. 拯救；救助
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
perpetual,adj. 永久的；不断的；四季开花的；无期限的
modify,"vt. 修改，修饰；更改
vi. 修改"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
commence,v. 开始；着手；<英>获得学位
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
species,"n.  物种；种类
adj. 物种上的"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
succession,n. 连续；继位；继承权； 演替
competitive,adj. 竞争的；比赛的；求胜心切的
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
vessel,n. 船，舰； 脉管，血管；容器，器皿
conversely,adv. 相反地
commodity,n. 商品，货物；日用品
reliance,n. 信赖；信心；受信赖的人或物
aggravate,vt. 加重；使恶化；激怒
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
repel,vt. 击退；抵制；使厌恶；使不愉快
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
comply,vi. 遵守；顺从，遵从；答应
renaissance,n. 文艺复兴（欧洲14至17世纪）
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
exemplify,vt. 例证；例示
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
continual,adj. 持续不断的；频繁的
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
quota,n. 配额；定额；限额
rational,"n. 有理数
adj. 合理的；理性的"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
abdomen,n. 腹部；下腹；腹腔
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
hypothesis,n. 假设
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
bewilder,vt. 使迷惑，使不知所措
inhabitant,n. 居民；居住者
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
impair,vt. 损害；削弱；减少
certainty,n. 必然；确实；确实的事情
incredible,adj. 难以置信的，惊人的
monopoly,n. 垄断；垄断者；专卖权
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
aviation,n. 航空；飞行术；飞机制造业
mingle,"vi. 混合；交往
vt. 使混合；使相混"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
moisture,n. 水分；湿度；潮湿；降雨量
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
assert,vt. 维护，坚持；断言；主张；声称
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
matter,"n. 物质；事件
vi. 有关系；要紧"
management,n. 管理；管理人员；管理部门；操纵；经营手段
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
collaborate,vi. 合作；勾结，通敌
device,n. 装置；策略；图案
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
kneel,vi. 跪下，跪
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
comprehend,vt. 理解；包含；由…组成
manipulate,vt. 操纵；操作；巧妙地处理；篡改
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
creative,adj. 创造性的
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
furnish,vt. 提供；供应；装备
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
comprise,vt. 包含；由…组成
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
mostly,adv. 主要地；通常；多半地
contempt,n. 轻视，蔑视；耻辱
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
corridor,走廊
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
greenhouse,"n. 温室
造成温室效应的"
deceive,v. 欺骗；行骗
intelligent,adj. 智能的；聪明的；理解力强的
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
option,n.  选项；选择权；买卖的特权
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
subsidy,n. 补贴；津贴；补助金
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
distribute,vt. 分配；散布；分开；把…分类
concept,n. 观念，概念
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
property,n. 性质，性能；财产；所有权
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
thrive,vi. 繁荣，兴旺；茁壮成长
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
sentiment,n. 感情，情绪；情操；观点；多愁善感
portray,vt. 描绘；扮演
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
debut,"n. 初次登台；开张
vi. 初次登台"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
immediate,adj. 立即的；直接的；最接近的
deceit,n. 欺骗；谎言；欺诈手段
pave,vt. 铺设；安排；作铺设之用
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
historic,adj. 有历史意义的；历史上著名的
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
humid,adj. 潮湿的；湿润的；多湿气的
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
abundant,adj. 丰富的；充裕的；盛产
imaginary,adj. 虚构的，假想的；想像的；虚数的
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
